供应商,供货商来货品名,图片, 单价（含采购运费） ,雷阳品名规格,"编码代码
（大类）","编码代码
（小类）",末位流水编号,雷阳货号,成本价（含打包费用及发货运费等）,子件货号,,最新采购价格日期
义乌市易赛日用品有限公司,"创意蜂窝带盖37格制冰冰格冰箱自制冰块模具家用制冰盒冰模辅食 [快照]
颜色: 黄色  规格: 带盖OPP袋装",#NAME?, 1.95 ,37格蜂窝冰格黄色,BG,01,0061,BG010061,2.18,,,
,冰格模具4球黑色无盖,, 3.80 ,冰格模具4球黑色无盖,BG,01,0088,BG010088,4.26,,,
,冰格模具6球黑色无盖,#NAME?, 4.90 ,冰格模具6球黑色无盖,BG,01,0087,BG010087,5.49,改货号,,
"深圳市鸿鑫硅橡胶有限公司
",食品级160格1cm小方块硅胶冰格 家用易清洗碎碎冰制冰盒模具 [快照],#NAME?, 3.18 ,冰格模具方形15格黑色无盖,BG,01,0010,BG010010,3.56,,,
东莞市名时硅胶制品有限公司,硅胶10孔爱心冰格蛋糕模蜡烛模具巧克力烘焙模具手工皂模石膏模具 颜色: 红色,#NAME?, 2.83 ,10孔爱心冰格模具红色,BG,01,0011,BG010011,3.16,,,
东莞市名时硅胶制品有限公司,硅胶10孔爱心冰格蛋糕模蜡烛模具巧克力烘焙模具手工皂模石膏模具 颜色: 粉色,#NAME?, 2.83 ,10孔爱心冰格模具粉色,BG,01,0012,BG010012,3.16,,,
东莞市名时硅胶制品有限公司,硅胶10孔爱心冰格蛋糕模蜡烛模具巧克力烘焙模具手工皂模石膏模具,#NAME?, 5.66 ,10孔爱心冰格模具2pcs（红色+粉红色）,BG,01,0013,BG010013,6.34,,,
余姚市蓝调电子商务商行,蓝调 8腔椭圆 手工模具 DIY巧克力雪糕模 蛋糕模 食品级 不配棒 规格: 白色（不配棒）,#NAME?, 4.00 ,8腔椭圆雪糕模白色,BG,01,0014,BG010014,4.48,,,
阳江市江城区紫云轩厨业制品有限公司,厂家现货硅胶冰格15格方形制冰器DIY水果冰块模具创意果冻模 颜色: 绿色 规格: 15格（带盖）,#NAME?, 3.43 ,冰格模具方形15格带盖绿色,BG,01,0015,BG010015,3.84,,,
阳江市江城区紫云轩厨业制品有限公司,厂家现货硅胶冰格15格方形制冰器DIY水果冰块模具创意果冻模 颜色: 紫色 规格: 15格（带盖）,#NAME?, 3.43 ,冰格模具方形15格带盖紫色,BG,01,0016,BG010016,3.84,,,
阳江市江城区紫云轩厨业制品有限公司,厂家现货硅胶冰格15格方形制冰器DIY水果冰块模具创意果冻模 颜色: 粉色 规格: 15格（带盖）,#NAME?, 3.43 ,冰格模具方形15格带盖粉色,BG,01,0017,BG010017,3.84,,,
阳江市江城区紫云轩厨业制品有限公司,厂家现货硅胶冰格15格方形制冰器DIY水果冰块模具创意果冻模 颜色: 蓝色 规格: 15格（带盖）,#NAME?, 3.43 ,冰格模具方形15格带盖蓝色,BG,01,0018,BG010018,3.84,,,
阳江市承鸿工贸有限公司,厂家批发创意硅胶冰格家用水果形状制冰模具易脱模DIY硅胶辅食盒 颜色: 冰格,#NAME?, 4.10 ,冰格水果形状绿色,BG,01,0019,BG010019,4.59,,,
,,#NAME?, 8.20 ,冰格水果形状绿色2PCS,T2-BG,01,0019,T2-BG010019,9.18,BG010019,已录聚水潭,
东莞市烨霆橡胶制品有限公司,"硅胶冰格模具4方4球6方6球15格大冰块易脱模食品级软硅胶制盒带盖 [快照]
规格: 15方冰格无盖（约135g）",#NAME?, 4.40 ,冰格模具方形15方冰格带盖,BG,01,0020,BG010020,4.93,,,
东莞市象启工贸有限公司,亚马逊饮料咖啡硅胶汽车杯架 沙发杯架多功能创意生活户外杯托 颜色: 经济款-白色,#NAME?, 30.50 ,沙发杯托盘白色,BG,01,0021,BG010021,34.16,,,
东莞市象启工贸有限公司,亚马逊饮料咖啡硅胶汽车杯架 沙发杯架多功能创意生活户外杯托 颜色: 经济款-灰色,#NAME?, 30.50 ,沙发杯托盘灰色,BG,01,0022,BG010022,34.16,,,
深圳市雷阳硅胶制品有限公司,,#NAME?, 4.70 ,雷阳冰格长条4格黑色带盖,BG,01,0023,BG010023,5.24,5.24,,
深圳市雷阳硅胶制品有限公司,,#NAME?, 3.50 ,雷阳冰格长条4格黑色 不带盖,BG,01,0024,BG010024,3.98,3.98,,
深圳市雷阳硅胶制品有限公司,,#NAME?, 4.70 ,雷阳冰格长条4格粉色带盖,BG,01,0025,BG010025,5.24,5.24,,
深圳市雷阳硅胶制品有限公司,,#NAME?, 3.50 ,雷阳雷阳冰格长条4格粉色不带盖,BG,01,0044,BG010044,3.98,3.98,,
深圳市雷阳硅胶制品有限公司,,#NAME?, 4.70 ,雷阳冰格长条4格 蓝色带盖,BG,01,0026,BG010026,5.24,5.24,,
深圳市雷阳硅胶制品有限公司,,#NAME?, 3.50 ,雷阳冰格长条4格 蓝色不带盖,BG,01,0045,BG010045,3.98,3.98,,
深圳市雷阳硅胶制品有限公司,,#NAME?, 4.70 ,雷阳冰格长条4格黄色带盖,BG,01,0027,BG010027,5.24,5.24,,
深圳市雷阳硅胶制品有限公司,,#NAME?, 3.50 ,雷阳冰格长条4格黄色不带盖,BG,01,0046,BG010046,3.98,3.98,,
深圳市雷阳硅胶制品有限公司,,#NAME?, 4.70 ,雷阳冰格长条4格 深绿色带盖,BG,01,0028,BG010028,5.24,5.24,,
深圳市雷阳硅胶制品有限公司,,#NAME?, 3.50 ,雷阳冰格长条4格 深绿色不带盖,BG,01,0051,BG010051,3.98,3.98,,
 ,厂家供应万圣节骷髅头冰格四孔连骷髅头冰格骷髅头冰格模具硅胶,#NAME?, 4.60 ,四个骷髅头冰格黑色,BG,01,0029,BG010029,5.15,,,
,厂家供应万圣节骷髅头冰格四孔连骷髅头冰格骷髅头冰格模具硅胶,#NAME?, 9.20 ,四个骷髅头冰格黑色2PCS,BG,01,0086,BG010086,10.3,,,
